index	text	python	go
5	挂机ing	('mixed', '挂机llm')	('mixed', '挂机〔LLM待接入〕')
10	CN-XY-长空 hi	('mixed', 'llm长空local_dict')	('mixed', '〔LLM待接入〕长空你好')
17	99999挂机ing99998	('mixed', 'skip_nontext挂机llm')	('mixed', '99999挂机〔LLM待接入〕')
27	ᓚᘏᗢ 抖音-欧卡秋北--感谢关注(✿◡‿◡)❤❤❤	('mixed', 'llm抖音skip_nontext欧卡秋北skip_nontext感谢关注skip_nontext')	('mixed', '〔LLM待接入〕抖音-欧卡秋北--感谢关注(✿◡‿◡)❤❤❤')
42	LvYe*凌云. 打个招呼来	('mixed', 'llm凌云skip_nontext打个招呼来')	('mixed', '〔LLM待接入〕凌云.打个招呼来')
43	LingYun-迟遇. hi	('mixed', 'llm迟遇local_dict')	('mixed', '〔LLM待接入〕迟遇你好')
65	961km,0人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
66	961km,1人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
67	任何AON 为何在此处	('mixed', '任何llm为何在此处')	('mixed', '任何〔LLM待接入〕为何在此处')
68	961km,1人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
69	961km,1人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
70	961km,1人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
71	中国凌云车队温馨提示：本车队需接纳中途入队的队员并入车队，我方尾车需降速衔接，请后方跟进车队通知贵车队队员减速、拉大安全车距，注意避让⚠️⚠️⚠️	('mixed', '中国凌云车队温馨提示：本车队需接纳中途入队的队员并入车队，我方尾车需降速衔接，请后方跟进车队通知贵车队队员减速、拉大安全车距，注意避让skip_nontext')	('mixed', '中国凌云车队温馨提示：本车队需接纳中途入队的队员并入车队，我方尾车需降速衔接，请后方跟进车队通知贵车队队员减速、拉大安全车距，注意避让⚠️⚠️⚠️')
73	780km,1人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
75	780km,3人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
76	780km,4人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
77	780km,4人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
78	Loank 让你来了吗	('mixed', 'llm让你来了吗')	('mixed', '〔LLM待接入〕让你来了吗')
79	780km,6人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
82	780km,6人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
83	那个B给我私法消息了，粥粥妹妹	('mixed', '那个llm给我私法消息了，粥粥妹妹')	('mixed', '那个〔LLM待接入〕给我私法消息了，粥粥妹妹')
85	654km,0人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
87	654km,0人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
88	654km,0人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
89	477km,0人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
90	477km,0人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
91	477km,2人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
94	478km,2人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
99	478km,3人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
103	3车卡	('mixed', 'skip_nontext车卡')	('mixed', '3车卡')
105	374km,2人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
106	374km,2人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
108	374km,2人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
110	262km,0人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
111	3、4车都掉包	('mixed', 'skip_nontext、skip_nontext车都掉包')	('mixed', '3、4车都掉包')
113	262km,1人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
114	262km,1人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
115	262km,2人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
116	中国凌云车队温馨提示：本车队需接纳中途入队的队员并入车队，我方尾车需降速衔接，请后方跟进车队通知贵车队队员减速、拉大安全车距，注意避让⚠️⚠️⚠️	('mixed', '中国凌云车队温馨提示：本车队需接纳中途入队的队员并入车队，我方尾车需降速衔接，请后方跟进车队通知贵车队队员减速、拉大安全车距，注意避让skip_nontext')	('mixed', '中国凌云车队温馨提示：本车队需接纳中途入队的队员并入车队，我方尾车需降速衔接，请后方跟进车队通知贵车队队员减速、拉大安全车距，注意避让⚠️⚠️⚠️')
117	\262km,2人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
118	177km,0人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
119	177km,0人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
121	177km,0人	('mixed', 'llm人')	('mixed', '〔LLM待接入〕人')
123	RMI Team Lang Yi 嘻嘻	('mixed', 'llm嘻嘻')	('mixed', '〔LLM待接入〕嘻嘻')
125	[Lutu]Ye Gui 嘻嘻	('mixed', 'llm嘻嘻')	('mixed', '〔LLM待接入〕嘻嘻')
132	我刚才在4车位给我整蒙了	('mixed', '我刚才在skip_nontext车位给我整蒙了')	('mixed', '我刚才在4车位给我整蒙了')
133	RMI Team Lang Yi 嘻嘻	('mixed', 'llm嘻嘻')	('mixed', '〔LLM待接入〕嘻嘻')
134	RMI Team zai er 嘻嘻	('mixed', 'llm嘻嘻')	('mixed', '〔LLM待接入〕嘻嘻')
136	RMI Team zai er 嘻嘻	('mixed', 'llm嘻嘻')	('mixed', '〔LLM待接入〕嘻嘻')
137	RMI Team Xiao An. 嘻嘻不	('mixed', 'llm嘻嘻不')	('mixed', '〔LLM待接入〕嘻嘻不')
138	RMI Team zai er 嘻嘻	('mixed', 'llm嘻嘻')	('mixed', '〔LLM待接入〕嘻嘻')
139	RMI Team Xiao An. 嘻嘻不	('mixed', 'llm嘻嘻不')	('mixed', '〔LLM待接入〕嘻嘻不')
140	RMI Team Xiao An. 嘻嘻不	('mixed', 'llm嘻嘻不')	('mixed', '〔LLM待接入〕嘻嘻不')
141	RMI Team zai er 嘻嘻	('mixed', 'llm嘻嘻')	('mixed', '〔LLM待接入〕嘻嘻')
142	RMI Team Xiao An. 嘻嘻不	('mixed', 'llm嘻嘻不')	('mixed', '〔LLM待接入〕嘻嘻不')
143	RMI Team zai er 嘻嘻	('mixed', 'llm嘻嘻')	('mixed', '〔LLM待接入〕嘻嘻')
144	RMI Team zai er 嘻嘻	('mixed', 'llm嘻嘻')	('mixed', '〔LLM待接入〕嘻嘻')
145	RMI Team Xiao An. 不嘻嘻	('mixed', 'llm不嘻嘻')	('mixed', '〔LLM待接入〕不嘻嘻')
146	RMI Team Xiao An. 不嘻嘻	('mixed', 'llm不嘻嘻')	('mixed', '〔LLM待接入〕不嘻嘻')
147	RMI Team zai er 我嘻嘻	('mixed', 'llm我嘻嘻')	('mixed', '〔LLM待接入〕我嘻嘻')
149	RMI Team zai er 我嘻嘻	('mixed', 'llm我嘻嘻')	('mixed', '〔LLM待接入〕我嘻嘻')
150	RMI Team zai er 我嘻嘻	('mixed', 'llm我嘻嘻')	('mixed', '〔LLM待接入〕我嘻嘻')
152	RMI Team zai er 我嘻嘻yy	('mixed', 'llm我嘻嘻llm')	('mixed', '〔LLM待接入〕我嘻嘻〔LLM待接入〕')
153	RMI Team zai er 我嘻嘻	('mixed', 'llm我嘻嘻')	('mixed', '〔LLM待接入〕我嘻嘻')
154	RMI Team zai er 我嘻嘻	('mixed', 'llm我嘻嘻')	('mixed', '〔LLM待接入〕我嘻嘻')
155	RMI Team zai er 我嘻嘻y	('mixed', 'llm我嘻嘻local_dict')	('mixed', '〔LLM待接入〕我嘻嘻是')
157	RMI Team Xiao An. 你都嘻嘻翻了	('mixed', 'llm你都嘻嘻翻了')	('mixed', '〔LLM待接入〕你都嘻嘻翻了')
158	RMI Team Xiao An. 你都嘻嘻翻了，还叫	('mixed', 'llm你都嘻嘻翻了，还叫')	('mixed', '〔LLM待接入〕你都嘻嘻翻了，还叫')
163	RMI Team Feng Ye 嘻嘻	('mixed', 'llm嘻嘻')	('mixed', '〔LLM待接入〕嘻嘻')
166	RMI   门口的配我修车费	('mixed', 'llm门口的配我修车费')	('mixed', '〔LLM待接入〕门口的配我修车费')
175	RMI Team Li bai 哦吼	('mixed', 'llm哦吼')	('mixed', '〔LLM待接入〕哦吼')
